,제목,날짜,작성일,작성자,댓글
229,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 15:49:28,H***k,ㅋㅋㅋ 개가 웃겠다.
230,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 15:19:59,a***m,"어뜨케든 여론몰이 하려고 애쓴다. 요즘 대한민국국민이 이런 쓰레기 찌라시를 믿고 따르지 않는다는거 앞서서 한번도 아니고 여러번 보여줬는데도 저 난리들이냐. 당대표라는 인간이 가짜뉴스를 아무런 윤리의식 없이 막 하고 다니고..대한민국이 탑골공원에서 정치하고 있다고 언제까지 믿을라고 그러는건지 한심하다.
문재인정권이 절대적으로 잘하고 있다라고 생각하는건 나도 좀 그렇지만,
상대적으로는 확실히 낫다. 저 탑골공원의 국짐당은 도무지 아니다."
231,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 15:18:34,u***2,"이재명보다 나을 게 하나 없는 윤석열이 대선 후보 1위라고? 이재명은 정책이라도 잘 펴고 있는데, 윤석열은 정치도 한 적 없고 검찰에서만 계속 있었는데 그 사람이 대통령이 된다고 생각하면......... 어우, 끔찍해."
232,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 14:27:31,곽***산,사퇴했다고.. 17%가 순식간에 올랐다고? 도대체 여론조사를 어떻게 했길래... 표본과 질문방식이 궁금해지는군요.. 홍보광고로 느껴지는뎅.... 검찰이 법치위기 운운하는게.. 참... 어이없던데..
233,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 14:18:12,c***1,정신 챙그려라...대선후 검찰 출석 준비나 하고...역시 윤이네...
234,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 14:16:45,c***1,이걸 이제 알았냐? 대선후 벌써 떨고 있을 인간들 많을걸...ㅍㅎㅎㅎ
235,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 14:15:39,김***철,순자를 모시듯 순실이를 모시듯 이젠 누굴 영접할 준비를 해야하나? 대~한민국. 짝짝짝.
236,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 14:13:47,M***m,"이것도 조사라고,,,, 빠냐?"
237,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 14:12:09,c***2,딱.... 경상도 인구 수네...ㅋㅋㅋㅋㅋㅋ
238,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 13:56:14,s***5,포렌식하면 다 나옵니다. 어차피 장모 마누라 구속되면 끝!
239,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 13:42:19,q***m,조사 어디서 했냐? ㅋㅋㅋㅋ 어디서 약을팔아....
240,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 13:36:48,S***g,일단 장모와 여편네를 먼저 재판을 받아야한다. 사기꾼들한테 나라를 맡기는 것은 국민들의 잘못돤 인식이다. 언론은 윤석렬이를 몰아주고 무엇을 딜 했는지 조사하여야한다. 나쁜인간들이 아직 너무 많다.
241,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 13:04:08,1***y,"기레기들.신난게.눈에 보여서 웃김 ㅋㅋㅋ
기레기들의.대통령 검찰당 윤돼지"
242,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 12:59:26,강***영,역시 근혜잔당은 암생각없는 노예들.박근혜 잡아넣은 석열이를 지지하다니.역시 개돼지라 들어도 좋탄다...헐...국암당 노비들..
243,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 12:57:48,황***하,어디서 조사했길래 저런결과를. 이해가 안되네.
244,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 12:54:47,A***n,이런 조사 한두번이냐 ㅋㅋㅋ 이젠 식상하다
245,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 12:40:31,악***1,"가화만사성, 목표 주의자, 검찰 주의자, 편가르기, 몰염치 , 이런사람이 어찌 검증을 넘어 설까? 청문회처럼 그냥 나중을 봐라 내가 잘 하겠다 뭐 그렇게......."
246,"윤석열, 사퇴 후 이재명 제쳤다…대권 적합도 '1위'",2021-03-08 11:32:00,2021-03-08 12:18:06,k***5,"정치에 '정'자도 경험한 바 없는 고집불통이 정치를 한다고?
검찰정치, 오기정치, 보복정치, 이명박정치, 트럼프정치를 보고 싶으면 실컷 지지하라고 그래! 울 나라 민주주의 박살! 일제 향수병에 걸린 세력들이 다시 이나라에서 준동하는 것을 원하면!!"
247,"'사표 수리' 끝난 윤석열…측근에 ""당분간은 쉴 것""",2021-03-05 20:16:00,2021-03-07 09:53:56,이***엽,"당분간은 쉴것.
정치인들이 많이 하는..."
248,"'사표 수리' 끝난 윤석열…측근에 ""당분간은 쉴 것""",2021-03-05 20:16:00,2021-03-06 17:20:13,A***n,당분간은 쉴 것 = 야당이랑 작전 세울 것
249,"'사표 수리' 끝난 윤석열…측근에 ""당분간은 쉴 것""",2021-03-05 20:16:00,2021-03-06 16:51:03,김***철,무리와 떨어진 하이에나는 살아남기 어렵지. 정치인 윤짜장은 살기위해 이합집산할 것이고 유유상종할 것이나 그 끝은 정글의 법칙에 따를 것이다. 결국 뿌린 대로 거둘것이다.
250,"'사표 수리' 끝난 윤석열…측근에 ""당분간은 쉴 것""",2021-03-05 20:16:00,2021-03-06 07:54:33,1***y,니 마누라 옥바라지 해야지
251,"'사표 수리' 끝난 윤석열…측근에 ""당분간은 쉴 것""",2021-03-05 20:16:00,2021-03-06 06:47:27,c***2,그래.. 집에 가서 장모랑 많이 생각해야지... 네 장모 구속하면 정권 탄압이라 하겠네...ㅋㅋ..우리나라에선 사기꾼도 정치 탄압이라 떠들지... 그래 왜구라 하는 거야
252,"'백신' 각 세우는 이재명·정세균…진중권, 이번엔 '어대명'?",2021-04-29 19:47:00,2021-04-30 07:16:36,c***2,진준권? 뭐 하는 놈인데.. 자꾸 나오니? 지가 김문수 인 줄 알아..ㅋㅋㅋㅋㅋ
253,"박용진, 여권 첫 출사표…여야 대선주자들 채비 분주",2021-05-09 19:18:00,2021-05-10 15:45:28,J***g,"얜.. 유치원3법으로 적당~~히 눈도장 한번 찍더니.. 무슨 결론을 내긴했나..흐지부히 되지 않았나.?
그리곤 대뜸 대선? ...ㅡ.ㅡ;; 내 얼굴이 다 화끈거린다.."
254,"박용진, 여권 첫 출사표…여야 대선주자들 채비 분주",2021-05-09 19:18:00,2021-05-10 09:31:46,장원***,정의당 간 거 아니었어?
255,"박용진, 여권 첫 출사표…여야 대선주자들 채비 분주",2021-05-09 19:18:00,2021-05-10 08:17:26,S***3,"참나, 이 박가 놈은 왜 꼼지락대는지 모르겠어..ㅋㅋ
뭐 새로운 인물 어쩌구 저째? 넌 전혀 새롭거나 참신하지 않아.. 이 넘아..."
256,"여권 대선 주자들 앞다퉈 청년 공략…""20살 1억""까지",2021-04-30 20:43:00,2021-05-03 21:11:24,박***규,"정치 한다는 새끼들부터 헛소리를 지껄여대니 나라가 갈팡질팡 서민들만 힘들어지지. 썩을 정치인 새끼들부터 전부다 사기죄로 깜방 보내야해.!
청년들에게 1억씩 돌리면 그돈은 어디서 나오겠어.? 그 청년 부모들에게서 세금으로 뽑아내겠지. 지놈들 사비 털어서 만들겠어.? 전부다 사기꾼 새끼들.!!"
257,"'차기 대선' 윤석열, 일대일이면 누구든 이긴다",2021-05-06 15:14:00,2021-05-06 19:46:43,1***y,"기레기들 신났네 ㅋㅋㅋ
아니 저 돼지 마누라랑 장모 좀 조국처럼 캐보라니까"
258,[JTBC 여론조사] 조금 더 벌어진 윤석열-이재명 지지율 격차...개각 후 민심은?,2021-04-19 19:24:00,2021-04-19 20:15:38,원***리,"선거 끝나니까. LH 얘기 쏙 들어가고. 매일매일 부동산 폭등. 폭등. 전세난민. 이라더만..
요샌 오세훈 효과? 부동산 상승세.

폭등폭등 외치던 새키들이.. 왜 갑자기 부동산 상승세라고 순화시켜서 기사를 써?"
259,이재명과 격차 더 벌린 윤석열…'비호감도' 또 최고치,2021-04-20 08:04:00,2021-04-26 09:24:11,T***n,언젠가부터 JTBC도 다른 조잡한 언론들과 비슷해지고 있다는 느낌을 계속 받는다. JTBC가 유일하게 믿던 언론이었다. 지금은 나만 느끼는건지는 모르겠지만 기사에서 공정함이라던가 진실들과 멀어진다는 느낌이 강하게 든다. 손석희씨가 뉴스에서 없어진 그때부터라는 생각이 들지만 제발 아니길 바란다.
260,"이낙연 ""경선 연기론 빠른 시일 내 정리 필요""…주택부 신설 주장도",2021-05-10 11:56:00,2021-05-10 16:59:13,y***3,11
261,"윤석열의 길어지는 '침묵과 잠행'...국힘서도 ""합류 어려울 듯""",2021-05-07 11:56:00,2021-05-07 15:00:44,i***4,"( 이슬람의 진실을 밝히는 증거 )

https://k1438.blogspot.kr/2016/12/blog-post.html

I======l

((( ""삶의 의미"" )))


https://youtu.be/NFJHyCau5v8


000000
-----"
262,"[인터뷰] 정세균 ""대선 출마 위해 재보선 뒤 총리 사임…대통령께 오래전 양해받아""",2021-04-19 21:14:00,2021-04-20 11:00:04,김***기,"고생은 정세균,문재인등 몇분이 하시고
달콤한 열매는 이상직, 김우남, 김어준등 잡배들이 따먹고 있네.

역사를 봐도 어디나 그럽 잡배들이 꼬이기 마련!"
263,"[인터뷰] 정세균 ""대선 출마 위해 재보선 뒤 총리 사임…대통령께 오래전 양해받아""",2021-04-19 21:14:00,2021-04-20 02:31:37,홍***락,성낭 민심은 저버리고 대선출마라...
264,"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,2021-04-12 21:33:19,김***철,조중동과 리얼미터를 믿어? 그 거품 빠지는걸 보여주지
265,"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,2021-04-12 19:41:08,한***우,세상에나 저분이 대통령이 된다굽쇼??
266,"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,2021-04-12 19:37:55,조***영,대선주자 1위가... 대한민국을 위해 무엇을 했는지 도무지 알 수가 없으니... 쩝...
267,"[JTBC 여론조사]재보선 이후 첫조사, 윤석열 36.3%, 이재명 23.5%, 이낙연 12.3%",2021-04-12 19:06:00,2021-04-12 19:24:28,1***y,그만 좀 띄워 개역겨워
268,'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,2021-04-18 22:30:40,김***숙,"윤석열은 똥이다
나는 이재명을 지지한다"
269,'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,2021-04-16 01:07:09,J***n,"""타성에 젖지 않고, 늘 겸손하게..."" 이희정 정치부 기자, 웃기지 좀 말고, 기자라고 하지도 말고... 기레기가 정답. 검새 윤석열이가 대통령 후보로 오르내릴 때, 정말 참담하고 민망한 국민들은 생각해 봤나? 홍씨가 그렇게 띄우라 하던? 수구 족벌 언론 사주의 노예일뿐, 기자는 무슨... 나같으면 쪽팔려서라도 그 사진 내린다."
270,'내년 3·9 대선' 초반 판세 JTBC 첫 여론조사…윤석열 36.3%,2021-04-13 07:57:00,2021-04-16 01:02:06,J***n,윤석열 대통령 후보로 띄워주기에 열혈한 Fucking JTBC. 홍석현이 그렇게 시키더냐? 족벌 독재 사주에 노예가 되어 버린 JTBC의 기레기들... 옛날 니들 선배들은 반항이라도 했지. ㅉㅉ 한심한 JTBC.
271,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 07:40:58,동***이,인터넷 신문은 날짜와 시간외에는 믿을게 없댜는데(드라마에 나와)
272,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 05:58:14,c***2,"선호도가 딱 ... 어느 지역 인구 비율이네.. 저런 범죄자 집안 인간들도 대통령 될 수 있는 지역... 이번에, 그 지역 시장 뽑은거 봐라..!! 온갖 잡질로 돈만 챙기던 놈이나 뽑고.. 참, 저 지역 수준은 어떻게 하니... 박정희 전두환이 독재의 단물만 빨던 인간들... 싸나이? 개가 웃는다.."
273,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 02:08:53,f***7,밑에 대깨들 논리가 없노 윤석열 일개 검사였는데 우파 세력과 전직대통령 두명과 깜빵넣은 공으로 검찰총장 낙하산으로 꼽아주고 키워준게 문재인이란걸 모르나? 대가리에 두부만 들었나 ㅋ 대깨들 풉 일개 검사가 대통령감이 아니라고? 그럼 경희대정도 나와데모 흉내내다 변호사 하던 문재인은 대통령 감이야? ㅋ 사시패스도 검사 커트라인이 변호사 보다 위이고 학벌도 위이고 문재인덕에 총장까지 했는데?대깨들때문에 국민이 정신차리네 ㅋ 대깨들화이팅
274,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:59:04,f***7,이낙연은 문재인과 함께 침몰해 제거 될각이고 이재명은 대깨등르 떠않아야 될텐데 점점 대깨들은 침몰각이라 대깨랑 한배탔다간 좌익 자체가 박멸될거고.. 중도 전후를 꽉잡은 윤석열이 그나마 여유롭구나.
275,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:19:36,h***0,"국민의 수준이 이지경이 된게 누구 때문인가?
일개 검사가 대통령감이라니.... 이 사람이 데체 누구란 말인가?
한탄스럽고, 한심스러원진다."
276,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:17:09,h***0,"도데체 국민의 수준이 이 모양이된게 누구 때문인가? 한탄스럽고 수치스럽다.
일개 검사가 대통령감이라니....? 한심하다."
277,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 01:02:15,o***0,자 문이란 세력은 결국명분만 채기려다 이도저도 안된 댐빵하다 막판에 LH아킬레스로 머된정권이다... 그렇다구 야인들이 멋지게 잘한것도 없다... 정신차려라 여든 야든 정치하는것들은 세금으로 대신 일하는 노비다 그걸 마치 희롱하듯 또 쑈를한다..정신차려라...정치하는것들은 여든야든 다 우리편이아니란것을..바보같이 아직도 선그려구 뇌를 소모하지마라..
278,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 23:51:32,k***3,"윤석열 전 검찰총장, 조국 전 장관 처럼 장모 부인 본인 범죄, 70곳 이상 압수수색 사법처리 했다면 윤석열 본인 부인 장모 몽땅 감방에 쳐박혀 있을 것으로 확신한다."
279,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-12 23:03:24,이***석,이재명은 혜경궁김씨 사건으로 친문이 죽이려고할때 그냥 탈당해서 정의당이나 국민의당으로 갔으면 지금보다 훨씬 전망 좋았을거다. 지금 민주당에서 백날 친문한테 아부해봐야 친문이 대선후볼 안 밀어준다. 정동영하고 이명박 매치할때도 친문들이 도와주지도 않았다. 친문패권주의는 자기들편이 권력 못잡으면 차라리 상대당에게 권력주는게 낫다라는 생각을 가진 비정상적인 사람들이다.
